Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Target
52.5,7.87,15.6,0.98,103,29.9,316,117,431,85.9,668,136,1
16.4,1.04,2.2,0.29,16.1,6.4,95,41,215,52,582,123,1
5.58,0.92,2.32,0.316,13.26,5.13,72.5,28.67,139.1,31.31,286.5,56.28,0
5.8,8.7,6.5,0.6,19.3,7.6,106,38,181,39,356,68,0
27,20,27,3.3,82,21,203,65,242,55,454,74,0
2.98,3.49,7.52,0.803,37.07,12.69,148.89,56.35,250.8,52.97,514.38,103.66,1
4.51,2.09,3.94,0.329,39.59858181,14.14412281,202.8,67.52053479,324.8990163,79.15817394,866,169.3,0
2.135833534,0.70700115,4.905095095,0.59829749,35.90561607,17.04264305,218.7272659,76.60864048,371.0648681,74.46769842,688.2687591,121.183468,0
1.8,2.34,1.82,0.25,6.65,2.22,26.5,9.65,45.7,10.3,99.1,17.3,0
30,0.58,1.2,0.41,8.2,3.09,41.1,17.8,95.6,26.4,301,70.1,1
4.75,3.36,5.64,0.963,25.16,8.07,107.6,41.1,204.7,47.11,433.2,82.1,0
0.566,0.95,4.8,0.042,43.1,19.3,233,77.7,333,67.6,554,96.2,0
10.75,1.62,3.15,1.04,19.32,6.96,85.43,36.06,177.8,40.31,393.1,88.61,1
61.69727486,7.022932438,10.89426742,3.300254771,48.88211788,15.09440278,167.7880441,58.88059766,254.3189209,52.20167364,481.6634119,98.34519354,1
18.56,1.53,3.67,0.17,32.37,13.18,177.44,70.52,318.59,71.73,663.2,116.04,1
18,6.43,7.84,0.55,40,17.8,252,96.2,505,107,1175,195,0
0.73,1.03,4.04,0.13,34.9,15.7,203,80.6,361,78.4,725,123,0
7.5,0.87,3.01,0.5,21.16,6.91,84.19,32.59,150.74,33.57,328.58,62.64,0
18,26,27,7,63,18,187,67,276,66,572,100,0
40.5,2.07,3.95,1.32,28.5,11.7,153,66.3,305,76,630,146.6,1
0.89,3.92,10.03,0.13,66.04,26.09,318.1,112.9,479.2,93.72,787.5,140.6,0
19.4,1.55,2.95,0.46,15.9,6.13,74.2,28.4,141,30.3,325,60.9,1
1.548,1.075,3.79,0.077,23.05,9.24,113.74,41.27,170.4,38.43,391.63,72.2535,0
